ID_STAZ;Year;Month;VALORE
683;2021;5;0.0
684;2021;5;0.0
685;2021;5;0.0
686;2021;5;0.0
687;2021;5;0.0
689;2021;5;0.0
690;2021;5;0.0
693;2021;5;0.0
694;2021;5;0.0
695;2021;5;0.0
696;2021;5;0.0
697;2021;5;0.0
698;2021;5;0.0
699;2021;5;0.0
700;2021;5;0.0
701;2021;5;0.0
703;2021;5;0.2
705;2021;5;0.0
706;2021;5;0.2
707;2021;5;0.0
708;2021;5;0.0
709;2021;5;0.0
710;2021;5;0.0
711;2021;5;0.0
712;2021;5;0.0
713;2021;5;0.0
715;2021;5;0.0
716;2021;5;0.0
717;2021;5;0.2
718;2021;5;0.0
721;2021;5;0.0
722;2021;5;0.0
723;2021;5;0.0
724;2021;5;0.4
725;2021;5;0.0
726;2021;5;0.0
727;2021;5;0.0
728;2021;5;0.0
729;2021;5;0.0
730;2021;5;0.0
731;2021;5;0.0
733;2021;5;0.0
734;2021;5;0.0
735;2021;5;0.2
736;2021;5;0.0
737;2021;5;0.0
738;2021;5;0.0
739;2021;5;0.0
740;2021;5;0.0
742;2021;5;0.0
743;2021;5;0.0
744;2021;5;0.2
745;2021;5;1.0
746;2021;5;0.0
747;2021;5;0.0
748;2021;5;0.0
749;2021;5;0.0
750;2021;5;0.0
751;2021;5;0.2
752;2021;5;0.0
753;2021;5;0.0
754;2021;5;0.0
755;2021;5;0.0
756;2021;5;0.0
757;2021;5;0.0
758;2021;5;0.0
759;2021;5;0.0
760;2021;5;0.0
761;2021;5;0.0
762;2021;5;0.0
763;2021;5;0.0
764;2021;5;0.0
765;2021;5;0.0
766;2021;5;0.2
767;2021;5;0.0
769;2021;5;0.0
770;2021;5;0.0
772;2021;5;0.0
773;2021;5;0.6
774;2021;5;1.0
775;2021;5;0.0
776;2021;5;0.4
777;2021;5;0.0
778;2021;5;0.6
779;2021;5;0.4
780;2021;5;0.0
1380;2021;5;0.0
1381;2021;5;0.6000000000000001
1382;2021;5;3.2
1383;2021;5;0.0
1384;2021;5;0.0
1385;2021;5;0.0
1386;2021;5;0.0
1404;2021;5;0.0
1424;2021;5;0.0
1444;2021;5;0.0
